2022-10-13 13:04:40,783 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2022-10-13 13:04:40,800 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2022-10-13 13:04:40,800 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2022-10-13 13:04:40,801 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2022-10-13 13:04:40,802 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2022-10-13 13:04:40,802 INFO  SwAddin.cs: 197 - Setting up callbacks
2022-10-13 13:04:40,803 INFO  SwAddin.cs: 201 - Setting up command manager
2022-10-13 13:04:40,803 INFO  SwAddin.cs: 204 - Adding command manager
2022-10-13 13:04:40,805 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2022-10-13 13:04:40,806 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2022-10-13 13:04:40,806 INFO  SwAddin.cs: 210 - Adding event handlers
2022-10-13 13:04:40,917 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2022-10-13 13:06:46,152 INFO  SwAddin.cs: 294 - Assembly export called for file 0 - motagem oficial 3
2022-10-13 13:06:46,153 INFO  SwAddin.cs: 299 - Save is required
2022-10-13 13:06:46,153 INFO  SwAddin.cs: 313 - Saving assembly
2022-10-13 13:06:46,790 INFO  SwAddin.cs: 316 - Opening property manager
2022-10-13 13:06:46,797 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 0 - motagem oficial 3
2022-10-13 13:06:46,821 INFO  ExportHelperExtension.cs: 1136 - Found 31 in 0 - motagem oficial 3
2022-10-13 13:06:46,821 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in 0 - motagem oficial 3
2022-10-13 13:06:46,822 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-10-13 13:06:46,823 INFO  ExportHelperExtension.cs: 1160 - 3 components to check
2022-10-13 13:06:46,824 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from ArUco-1
2022-10-13 13:06:46,824 INFO  ExportHelperExtension.cs: 1136 - Found 25 in ArUco-1
2022-10-13 13:06:46,824 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in ArUco-1
2022-10-13 13:06:46,824 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Suporte ArUco-2
2022-10-13 13:06:46,825 INFO  ExportHelperExtension.cs: 1136 - Found 36 in Suporte ArUco-2
2022-10-13 13:06:46,825 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Suporte ArUco-2
2022-10-13 13:06:46,825 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from 0- Montagem oficial-1
2022-10-13 13:06:46,826 INFO  ExportHelperExtension.cs: 1136 - Found 71 in 0- Montagem oficial-1
2022-10-13 13:06:46,826 INFO  ExportHelperExtension.cs: 1145 - Found 1 features of type [CoordSys] in 0- Montagem oficial-1
2022-10-13 13:06:46,826 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from 0 - motagem oficial 3
